geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1371769.99624357, Y: 5689539.4977981, Z: NaN",PALAZZO VENEZIANO,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,1413",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,84,214
"X: 1371897.67420632, Y: 5690163.21244112, Z: NaN",ALBERGO ANTICO CAPON,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,3004/B    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,7,11
"X: 1371821.87534067, Y: 5690127.40162548, Z: NaN",HOTEL CA' NOBILE CORNER,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,2931",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,8,18
"X: 1372121.4566283, Y: 5690367.13037384, Z: NaN",HOTEL TIVOLI DI GARDIN MANUELA GARDIN ROBERTA & C. S.N.C.,HOTEL TIVOLI DI GARDIN MANUELA GARDIN ROBERTA & C. S.N.C.,"DORSODURO,3838",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,0415242460     ,info@hoteltivoli.it,CENTRO STORICO,0,24,41
"X: 1372121.04716069, Y: 5689955.57986061, Z: NaN",PALAZZETTO MY VENICE,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,2786",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,10,20
"X: 1372876.89315546, Y: 5689445.77624166, Z: NaN",SONDER SALUTE PALACE,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,222",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,43,73
"X: 1372876.89315546, Y: 5689445.77624166, Z: NaN",IH HOTELS VENEZIA SALUTE PALACE,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,222",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,0,0
"X: 1372876.89315546, Y: 5689445.77624166, Z: NaN",HOTEL SALUTE PALACE,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,222",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,43,73
"X: 1372897.2324212, Y: 5689482.99522992, Z: NaN",HOTEL MESSNER,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,216",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,10,20
"X: 1372113.7868097, Y: 5690373.71318916, Z: NaN",HOTEL PANTALON,PUBBLICAZIONE DATO NON AUTORIZZATA,"DORSODURO,3942",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,15,24
