geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1373851.71814152, Y: 5690336.46552876, Z: NaN",HOTEL CASTELLO,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,4365",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,26,45
"X: 1373682.49153723, Y: 5690779.90129081, Z: NaN",HOTEL AI CAVALIERI,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,6108",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,32,61
"X: 1374802.8679789, Y: 5689851.00333119, Z: NaN",HOTEL BUCINTORO,HOTEL BUCINTORO SRL SOCIETA' UNIPERSONALE,"CASTELLO,2135/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,info@hotelbucintoro.com,CENTRO STORICO,0,20,38
"X: 1374446.24390473, Y: 5690288.70015329, Z: NaN",HOTEL CASALINGER,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,3541",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,11,22
"X: 1374910.51066317, Y: 5689800.48174843, Z: NaN",HOTEL CA' FORMENTA,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,1650",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,14,25
"X: 1374667.85039509, Y: 5689961.33675754, Z: NaN",CA' DI DIO,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,2181",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,5 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,66,132
"X: 1375220.81958427, Y: 5689926.31332004, Z: NaN",HOTEL CORTE CONTARINA,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,1931",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,10,21
"X: 1374257.16928902, Y: 5690223.77952728, Z: NaN",HOTEL BISANZIO,PUBBLICAZIONE DATO NON AUTORIZZATA,"CASTELLO,3651",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,40,80
"X: 1374307.71320635, Y: 5690379.6496642, Z: NaN",LIASSIDI WELLNESS SUITES,LIASSIDI SRL,"CASTELLO,3335",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,0415205658     ,info@liassidipalacehotel.it,CENTRO STORICO,0,5,10
"X: 1374526.83086594, Y: 5690112.36108469, Z: NaN",HOTEL AL NUOVO TESON,E.A.S.T SRL,"CASTELLO,3980",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,0415205555     ,info@hotelalnuovoteson.com,CENTRO STORICO,0,22,43
