FID,ID_RAGIONE,RAGIONE_SO,INDIRIZZO_,ID_STRUTTU,DENOMINAZI,SITOWEB,NUMERO_STA,NUMERO_LET,SUB_COD_VI,CIVICO,LETTERA,ZONA_IDS,PERCENTUAL,TIPO_STRUT,TIPOLOGIA_,NUM_STELLE,TIPO,CLASSIFICA,INDIRIZZO,CODICE_VIA,SUB_CODICE,COD_ISOLAT,COD_LOCALI,COD_QUARTI,COD_MUNICI,COD_ZONA,TELEFONO,ESRI_OID,x,y
2376,1005553,5N S.A.S DI TIOZZO SEMOLANTE GINA & C.,info@anticocasin.com,9076,ANTICO CASIN,PUBBLICAZIONE DATO NON AUTORIZZATA,5,7,16000,1520,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"SAN MARCO,1520/A",16000,41300,270420025,0270425001,1,1,1,0412410384,5249,12.335833372594,45.4334725950104
3481,1005386,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009289,CORTE CANAL 1,PUBBLICAZIONE DATO NON AUTORIZZATA,0,8,15610,647,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SANTA CROCE,647",15610,75430,270420967,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4348,12.3239266038173,45.4392474610014
4168,1005012,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1622,CASA NICOLO PRIULI I,PUBBLICAZIONE DATO NON AUTORIZZATA,6,16,3190,4983,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"CASTELLO,4983",3190,34370,270420236,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6503,12.3439910602498,45.4357800082666
1689,1010322,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1010392,LA BRAGADINA,PUBBLICAZIONE DATO NON AUTORIZZATA,0,0,9720,8,E,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"VIA LEPANTO,8/E",9720,9720,270421304,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,2662,12.3708219520576,45.4153377443933
2685,1005240,ANTONINA CROZE,ninadd69@gmail.com,1152,APPARTAMENTO CORTE BRAGADIN,PUBBLICAZIONE DATO NON AUTORIZZATA,1,2,7070,586,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"DORSODURO,586",7070,60720,270421120,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6357,12.3291298100668,45.4294707149399
1357,1011228,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1011234,PALAZZO CONTARINI DELLA PORTA DI FERRO,PUBBLICAZIONE DATO NON AUTORIZZATA,16,25,3190,2926,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"CASTELLO,2926",3190,36830,270420297,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,782,12.3468636297513,45.4373960332008
4738,1008507,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1009279,B&B SANTO STEFANO,PUBBLICAZIONE DATO NON AUTORIZZATA,1,3,16000,3450,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SAN MARCO,3450",16000,40730,270420078,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9052,12.3299386743687,45.4341237869055
5047,1005395,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,7575,CA'MANIN SRLS,PUBBLICAZIONE DATO NON AUTORIZZATA,6,15,16000,4017,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,4,L,4 LEONI,"SAN MARCO,4017",16000,44420,270420096,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9624,12.3334272718478,45.4351474296858
4546,1004619,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1057,BEST WINDOWS3,PUBBLICAZIONE DATO NON AUTORIZZATA,1,5,16000,144,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SAN MARCO,144",16000,44340,270420014,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,8960,12.3389253944506,45.4345759380296
1752,1001586,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,6374,B&B VILLA GABRIELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,9320,12,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"VIA ISTRIA,12",9320,9320,270421310,0270425048,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,2761,12.3719388130875,45.4104809429481
4995,1005697,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,270,CASA DEI PITTORI DIMORA GIORGIONE,PUBBLICAZIONE DATO NON AUTORIZZATA,1,3,15610,1032,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SANTA CROCE,1032/A",15610,76990,270420955,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9173,12.327084470294,45.4392213689606
3424,1005604,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1541,B&B CB2,PUBBLICAZIONE DATO NON AUTORIZZATA,3,7,15610,2159,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SANTA CROCE,2159",15610,75050,270420904,0270425014,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4244,12.3301884881885,45.4391863966932
4646,1005462,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1008673,ANTICO CAPON 1,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,7070,2967,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"DORSODURO,2967/A",7070,62250,270421061,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9412,12.3233345916522,45.434673858212
2777,1005411,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3633,CA ARCO ANTICO,PUBBLICAZIONE DATO NON AUTORIZZATA,5,11,16210,1451,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"SAN POLO,1451",16210,74000,270420837,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6449,12.3311707801844,45.436965862388
4111,1004760,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1601,ALLOGGI BARBARIA,PUBBLICAZIONE DATO NON AUTORIZZATA,6,11,3190,6573,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CASTELLO,6573",3190,31050,270420220,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9866,12.3453847347662,45.4392077902273
3324,1009681,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1010108,RESIDENZA SAN SILVESTRO,PUBBLICAZIONE DATO NON AUTORIZZATA,6,13,16210,1104,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"SAN POLO,1104",16210,73990,270420825,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4067,12.3333419753112,45.4373676134915
2144,1004902,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1231,LOCANDA AL LEON 2,PUBBLICAZIONE DATO NON AUTORIZZATA,5,10,3190,4279,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CASTELLO,4279",3190,35725,270420256,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4819,12.3413263532048,45.4349043360266
2190,1014540,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1015016,PALAZZO DEI MORI,PUBBLICAZIONE DATO NON AUTORIZZATA,6,19,3190,6457,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CASTELLO,6457",3190,33950,270420212,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4910,12.3441988405171,45.4383133044735
4921,1005964,FRARI 2000 S.A.S.,PUBBLICAZIONE DATO NON AUTORIZZATA,1440,CA' BADOER,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,16210,2548,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SAN POLO,2548",16210,73210,270420860,0270425013,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9137,12.3265267364778,45.437652558058
5256,1004863,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1828,LOCANDA CIPRIANI,PUBBLICAZIONE DATO NON AUTORIZZATA,6,9,18010,29,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"ISOLA TORCELLO,29",18010,18010,270421661,0270425040,6,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,9727,12.4178462761661,45.4978692468837
679,1011568,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1011608,CA' DEGLI ANTICHI GIARDINI C2,PUBBLICAZIONE DATO NON AUTORIZZATA,2,5,2780,3143,G,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CANNAREGIO,3143/G",2780,55940,270420536,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2307,12.3265659368373,45.4473766567673
5107,1004654,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1333,ISTITUTO CANOSSIANO SAN TROVASO,PUBBLICAZIONE DATO NON AUTORIZZATA,64,93,7070,1323,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,CASE PER VACANZA,2,L,2 LEONI,"DORSODURO,1323",7070,61980,270421089,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9654,12.3245102538466,45.4322247985377
3478,1005034,ARCAZA S.N.C. DI FERRARI A. E BALDAN V.,info@alpontemocenigo.com,1869,AL PICCOLO MOCENIGO,PUBBLICAZIONE DATO NON AUTORIZZATA,4,6,15610,1989,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SANTA CROCE,1989",15610,77560,270420909,0270425014,2,1,1,0415244797,4342,12.3300406507508,45.4409499501227
1271,1010185,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1010813,AL CAMPANILE MADONNA DELL'ORTO,PUBBLICAZIONE DATO NON AUTORIZZATA,5,10,2780,3505,D,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"CANNAREGIO,3505/D",2780,55190,270420560,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,624,12.3328584615062,45.4471541666509
4635,1005318,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3602,PARUTA HOUSE 601,PUBBLICAZIONE DATO NON AUTORIZZATA,2,3,16000,3569,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"SAN MARCO,3569",16000,41530,270420105,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9406,12.3324840853503,45.4340089178658
3455,1004830,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,12181,CENTRALE 21,PUBBLICAZIONE DATO NON AUTORIZZATA,2,5,2780,96,T,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"CANNAREGIO,96/T",2780,55700,270420455,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4297,12.3199806520796,45.4430621284302
1761,1005776,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3118,PALAZZINA G,PUBBLICAZIONE DATO NON AUTORIZZATA,6,14,16000,3244,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"SAN MARCO,3244",16000,43080,270420073,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2775,12.3278363189624,45.4340505856557
4417,1004626,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,7505,CASA FLORA,PUBBLICAZIONE DATO NON AUTORIZZATA,3,7,16000,2313,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"SAN MARCO,2313",16000,43570,270420040,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6909,12.3341780895483,45.4323989549145
3504,1004851,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,4044,SAN SIMEON APARTMENTS 2,PUBBLICAZIONE DATO NON AUTORIZZATA,2,7,3190,3975,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"CASTELLO,3975",3190,34750,270420270,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4389,12.3474740449994,45.4338866395177
2210,1004719,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1396,RESIDENCE DINESEN,PUBBLICAZIONE DATO NON AUTORIZZATA,3,6,7070,623,A,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,4,L,4 LEONI,"DORSODURO,623/A",7070,60770,270421122,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4949,12.3298192970357,45.4301227659565
3590,1005260,PUBBLICAZIONE DATO NON AUTORIZZATA,amministrazione@benzonsrl.it,9994,BENZON APARTMENTS,PUBBLICAZIONE DATO NON AUTORIZZATA,2,4,16000,2818,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,3,L,3 LEONI,"SAN MARCO,2818",16000,43720,270420056,0270425001,1,1,1,0412619151,4535,12.3302263466522,45.4319401643292
1818,1005153,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,561,VENICE RESORTS 1,PUBBLICAZIONE DATO NON AUTORIZZATA,3,6,7070,3513,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,UNITA' ABITATIVE AMMOBILIATE AD USO TURISTICO,2,L,2 LEONI,"DORSODURO,3513",7070,63160,270421046,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2854,12.320844340634,45.4368911402293
1769,1004057,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,721,B&B CADORO,PUBBLICAZIONE DATO NON AUTORIZZATA,3,10,2780,2260,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"CANNAREGIO,2260",2780,52600,270420598,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,2786,12.3321512211244,45.4422951100765
4231,1005321,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1010989,ZAGURI,PUBBLICAZIONE DATO NON AUTORIZZATA,3,7,16000,2632,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SAN MARCO,2632",16000,41490,270420054,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,6566,12.3321606356498,45.4325937176312
4821,1005197,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,2036,B&B CÀ DELLE ACQUE,PUBBLICAZIONE DATO NON AUTORIZZATA,3,5,16000,4991,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,3,L,3 LEONI,"SAN MARCO,4991",16000,40000,270420138,0270425001,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,9092,12.3374612872936,45.4365933166009
3198,1016102,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1016549,CASA JOLANDA,PUBBLICAZIONE DATO NON AUTORIZZATA,3,5,3190,4674,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,2,L,2 LEONI,"CASTELLO,4674",3190,34140,270420259,0270425002,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,3831,12.3426669735671,45.4345140317494
2087,1005038,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1628,PALAZZO CENDON LE MANSARDE,PUBBLICAZIONE DATO NON AUTORIZZATA,6,13,2780,533,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"CANNAREGIO,533",2780,51450,270420462,0270425009,1,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,4720,12.3223540575132,45.4447304463329
1068,1005868,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,1006023,VILLA PARADISO,PUBBLICAZIONE DATO NON AUTORIZZATA,6,18,7370,3,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,ALLOGGI TURISTICI,3,L,3 LEONI,"PIAZZA DELLE ERBE,3",7370,7370,270421423,0270425049,3,2,2,PUBBLICAZIONE DATO NON AUTORIZZATA,271,12.3400483785008,45.3724955751876
404,1005170,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,5993,VENISSA WINE RESORT,PUBBLICAZIONE DATO NON AUTORIZZATA,5,10,10970,3,_,"ISOLE DELLA LAGUNA (ESCLUSO CENTRO STORICO, GIUDECCA, ISOLE DEDICATE IN VIA PRINCIPALE ALLA FUNZIONE RICETTIVA E ALBERGHI A 5 STELLE)",20,STRUTTURE RICETTIVE COMPLEMENTARI,CASE PER VACANZA,4,L,4 LEONI,"ISOLA MAZZORBO (BURANO),3",10970,15549,270421632,0270425031,6,1,2,PUBBLICAZIONE DATO NON AUTORIZZATA,1846,12.4108822803716,45.4886236458508
4457,1001074,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,3891,BED AND BREAKFAST LE TERESE,PUBBLICAZIONE DATO NON AUTORIZZATA,2,3,7070,1902,_,CENTRO STORICO,0,STRUTTURE RICETTIVE COMPLEMENTARI,BED and BREAKFAST,2,L,2 LEONI,"DORSODURO,1902",7070,66550,270421027,0270425016,2,1,1,PUBBLICAZIONE DATO NON AUTORIZZATA,8873,12.3161827078757,45.4328190678862
