short_alias,building_id,height,superficie,floors_est,units_est_meters,units_est_volume,pop_est
MELO-044,3945,2.33,24.26,1,0,0,9
MELO-043,4642,-0.85,198.67,1,5,2,9
MELO-040,4645,12.24,38.28,4,3,1,4
MELO-041,4648,13.540000000000001,191.41,4,6,6,4
MELO-028,4651,12.219999999999999,342.78,4,7,11,15
MELO-029,4653,12.1,246.72,4,4,8,4
MELO-002,4656,9.209999999999999,174.92,3,2,4,2
MELO-001,4659,12.219999999999999,204.57,4,0,7,2
MELO-006,4662,11.42,73.27,4,2,2,15
MELO-005,4665,13.96,47.4,4,3,2,2
MELO-031,4668,12.610000000000001,57.55,4,1,2,2
MELO-032,4671,12.38,58.84,4,3,2,2
MELO-033,4674,12.05,80.95,4,2,3,2
ZACC-038,5149,11.08,93.89,3,0,2,2
ZACC-036,5150,0.0,109.04,1,2,1,2
ZACC-041,5312,10.4,147.0,3,3,4,2
ZACC-040,5313,11.149999999999999,22.19,3,0,1,2
ZACC-042,5314,13.549999999999999,132.45,4,0,4,2
ZACC-043,5315,9.950000000000001,110.59,3,3,3,2
ZACC-044,5316,12.47,417.73,4,1,13,2
ZACC-065,5317,13.24,244.92,4,4,8,2
ZACC-063,5318,17.64,359.32,6,9,17,2
ZACC-003,5319,14.53,576.78,5,0,23,2
ZACC-048,5320,17.720000000000002,179.93,6,4,9,2
ZACC-047,5321,14.520000000000001,125.67,5,3,5,2
ZACC-046,5322,8.540000000000001,32.08,3,0,1,2
ZACC-045,5323,9.05,88.66,3,3,2,2
ZACC-049,5324,-0.95,202.96,1,3,2,2
ZACC-068,5325,-1.05,389.97,1,1,3,2
ZACC-069,5326,4.45,55.41,1,0,0,2
ZACC-001,5327,5.0200000000000005,266.1,2,5,4,2
ZACC-002,5328,13.219999999999999,243.0,4,0,8,2
ZACC-051,5331,11.7,768.17,4,0,25,2
MELO-012,7039,14.69,267.14,5,4,11,3
MELO-013,7040,14.15,415.9,4,0,13,2
MELO-014,7041,14.55,179.77,5,2,7,2
MELO-015,7042,14.55,195.34,5,2,8,2
MELO-023,7043,16.65,118.03,5,3,5,3
MELO-024,7044,15.65,132.56,5,16,5,3
MELO-011,7045,11.8,238.74,4,0,8,3
MELO-038,7046,13.19,61.42,4,2,2,4
MELO-019,7047,8.63,91.68,3,1,2,4
MELO-018,7048,18.099999999999998,383.42,6,13,18,8
MELO-016,7146,16.07,327.32,5,1,13,8
MELO-009,7147,-0.85,34.31,1,2,0,3
MELO-010,7148,14.950000000000001,71.99,5,0,3,3
ZACC-057,7580,10.49,222.14,3,1,5,3
ZACC-062,7591,11.22,375.04,4,1,12,2
ZACC-032,7592,-0.85,192.43,1,0,2,2
ZACC-031,7593,11.37,214.74,4,0,7,2
ZACC-059,7594,8.25,73.87,3,5,2,2
ZACC-060,7595,12.43,74.39,4,0,2,2
ZACC-061,7597,11.280000000000001,74.67,4,3,2,2
ZACC-035,7598,-1.05,25.61,1,0,0,2
ZACC-037,7599,10.049999999999999,95.33,3,0,2,2
ZACC-027,7600,9.35,74.01,3,0,2,2
ZACC-028,7602,10.13,103.86,3,1,2,2
ZACC-029,7603,14.200000000000001,98.62,4,0,3,2
ZACC-025,7604,4.46,28.74,1,0,0,2
ZACC-023,7605,13.75,64.29,4,0,2,2
ZACC-022,7606,14.25,73.52,4,1,2,2
ZACC-017,7607,10.04,187.71,3,0,5,2
ZACC-019,7608,19.43,71.39,6,3,3,2
ZACC-016,7609,11.780000000000001,127.47,4,0,4,2
ZACC-075,7622,14.8,181.11,5,2,7,2
ZACC-074,7623,15.83,185.29,5,1,7,2
ZACC-072,7624,15.450000000000001,110.1,5,0,4,2
ZACC-073,7625,15.31,122.56,5,1,5,2
ZACC-011,7626,18.349999999999998,509.47,6,0,24,0
ZACC-010,7627,3.4499999999999997,103.02,1,0,1,0
ZACC-013,7628,-0.85,431.38,1,1,3,2
ZACC-039,7629,-0.85,40.01,1,0,0,2
ZACC-052,7630,8.569999999999999,43.46,3,0,1,2
ZACC-053,7631,6.42,210.43,2,3,3,2
ZACC-007,7632,7.419999999999999,85.12,2,0,1,2
ZACC-006,7633,5.39,22.26,2,0,0,2
ZACC-004,7634,3.4499999999999997,6.86,1,0,0,2
ZACC-005,7635,7.219999999999999,154.38,2,0,2,2
ZACC-056,7695,6.75,14.47,2,0,0,0
ZACC-055,7696,19.15,811.32,6,0,39,3
ZACC-026,7697,3.15,42.32,1,0,0,2
ZACC-030,7698,15.639999999999999,132.07,5,4,5,2
ZACC-015,7711,13.33,443.21,4,0,14,2
ZACC-014,7712,9.41,56.76,3,0,1,2
ZACC-020,7713,9.41,115.03,3,0,3,2
ZACC-018,7714,6.8100000000000005,62.4,2,0,1,2
ZACC-021,7715,-0.85,35.03,1,0,0,2
ZACC-058,7724,8.5,126.54,3,2,3,2
ZACC-071,7730,3.4499999999999997,13.21,1,0,0,2
ZACC-012,7741,5.87,44.61,2,0,1,2
ZACC-034,7742,7.26,19.92,2,0,0,2
ZACC-033,7743,8.700000000000001,35.82,3,1,1,2
ZACC-066,7748,8.69,19.95,3,0,0,2
ZACC-054,7751,7.82,458.0,2,14,7,2
ZACC-024,7752,7.77,19.86,2,0,0,2
ZACC-009,7782,0.0,707.01,1,0,6,2
ZACC-008,7783,-0.85,1060.63,1,0,8,2
MELO-037,11382,9998.05,37142.51,3124,3,928266,2
MELO-039,11387,9998.05,37198.49,3124,3,929665,4
MELO-021,11391,9998.05,37299.77,3124,3,932196,4
MELO-026,11395,9998.05,37407.71,3124,5,934893,3
MELO-007,11398,9998.05,37547.79,3124,4,938394,3
MELO-045,12819,21.85,1159.52,7,0,65,9
MELO-017,12820,18.15,372.47,6,10,18,8
MELO-022,12821,0.0,47.25,1,0,0,3
MELO-008,12822,15.53,70.09,5,0,3,3
MELO-025,12823,0.0,49.59,1,1,0,3
MELO-020,12824,9998.05,55.41,3124,2,1385,4
ZACC-067,14704,13.8,382.81,4,1,12,2
ZACC-050,14707,-0.95,211.36,1,6,2,2
ZACC-064,14710,18.64,305.45,6,8,15,2
MELO-046,15048,0.0,53.23,1,8,0,2
MELO-047,15049,0.0,87.54,1,0,1,2
MELO-048,15050,0.0,90.0,1,0,1,2
MELO-030,15051,0.0,74.59,1,0,1,2
MELO-004,15052,0.0,62.43,1,3,0,2
MELO-003,15053,-1.05,83.31,1,3,1,2
MELO-027,15054,17.830000000000002,622.81,6,18,30,15
MELO-042,15055,16.479999999999997,184.63,5,6,7,9
MELO-036,15056,12.13,61.03,4,1,2,2
MELO-035,15057,0.0,51.42,1,3,0,2
MELO-034,15058,0.0,50.69,1,1,0,2
ZACC-070,15433,0.0,3418.21,1,0,27,2
